SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL,CATALOG_PDF
211,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,211 Style,,,,,,,,,,,,,,,,,,,,,,,,,80,39,37,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-sm-fabric-chair.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-sm-fabric-ottoman.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-sm-leather-sofa.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-sm-leather-chair.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-sm-leather-ottoman.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-HD-fabric-sofa.jpg ,,,,,,,,,,Sofa,,Width: 80; Depth: 39; Height: 37; Inside Width: 66; Seat Height: 20; Seat Depth: 21; Arm Height: 26,,,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=211&piece=1,https://smithbrothersfurniture.com/downloads/CatalogPages/211.pdf
274,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,274 Style,,,,,,,,,,,,,,,,,,,,,,,,,86,41,37,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/274-sm-fabric-chair.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/274-sm-fabric-ottoman.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/274-sm-leather-sofa.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/274-sm-leather-chair.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/274-sm-leather-ottoman.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/274-HD-fabric-sofa.jpg ,,,,,,,,,,Sofa,,Width: 86; Depth: 41; Height: 37; Inside Width: 78; Seat Height: 20; Seat Depth: 21; Arm Height: 29,,,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=274&piece=1,https://smithbrothersfurniture.com/downloads/CatalogPages/274.pdf
M103,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,M103 Style,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-sm-fabric-motorized-headrest-recliner.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-sm-leather-motorized-gliding-headrest-recliner.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-sm-leather-sectional-motorized-headrest.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-HD-fabric-sectional-motorized-headrest.jpg ,,,,,,,,,,,,Sectional,,Height: 44; Seat Height: 21; Seat Depth: 20; Arm Height: 25,,,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=M103&piece=2,https://smithbrothersfurniture.com/downloads/CatalogPages/M103.pdf
512,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,512 Style,,,,,,,,,,,,,,,,,,,,,,,,,37,38,38,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/512-sm-fabric-ottoman.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/512-sm-leather-chair.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/512-sm-leather-ottoman.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/512-HD-fabric-swivel-chair.jpg ,,,,,,,,,,,,Swivel Chair,,Width: 37; Depth: 38; Height: 38; Inside Width: 22; Seat Height: 19; Seat Depth: 23; Arm Height: 25,,,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=512&piece=1,https://smithbrothersfurniture.com/downloads/CatalogPages/512.pdf
D104,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,D104 Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/D104-sm-fabric-ArmChair.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/D104-sm-fabric-BarStool.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/D104-sm-fabric-CounterStool.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/D104-HD-fabric-SideChair.jpg ,,,,,,,,,,,,,,,,,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=D104&piece=4,https://smithbrothersfurniture.com/downloads/CatalogPages/D104.pdf
D105,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,D105 Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/D105-HD-fabric-ArmChair-Casters.jpg ,,,,,,,,,,,,,,,,,,,,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=D105&piece=1,https://smithbrothersfurniture.com/downloads/CatalogPages/D105.pdf
203,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,SOFAS,,,,,,203 Style,,,,,,,,,,,,,,,,,,,,,,,,,81,38,36,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/203-sm-fabric-chair.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/203-sm-fabric-ottoman.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/203-sm-leather-sofa.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/203-sm-leather-chair.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/203-sm-leather-ottoman.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/203-HD-fabric-sofa.jpg ,,,,,,,,,,Sofa,,Width: 81; Depth: 38; Height: 36; Inside Width: 72; Seat Height: 20; Seat Depth: 21; Arm Height: 24,,,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=203&piece=1,https://smithbrothersfurniture.com/downloads/CatalogPages/203.pdf
209,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,SOFAS,,,,,,209 Style,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/209-sm-fabric-sectional-.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/209-sm-fabric-sectional-1.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/209-sm-fabric-sectional-2.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/209-sm-fabric-sectional-3.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/209-sm-fabric-sectional-4.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/209-sm-fabric-sectional-5.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/209-sm-fabric-sectional-6.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/209-HD-fabric-sectional-8.jpg ,,,,,,,,Sectional,,Height: 38; Seat Height: 20; Seat Depth: 26,,,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=209&piece=8,https://smithbrothersfurniture.com/downloads/CatalogPages/209.pdf
211,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,SOFAS,,,,,,211 Style,,,,,,,,,,,,,,,,,,,,,,,,,80,39,37,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-sm-fabric-chair.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-sm-fabric-ottoman.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-sm-leather-sofa.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-sm-leather-chair.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-sm-leather-ottoman.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-HD-fabric-sofa.jpg ,,,,,,,,,,Sofa,,Width: 80; Depth: 39; Height: 37; Inside Width: 66; Seat Height: 20; Seat Depth: 21; Arm Height: 26,,,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=211&piece=1,https://smithbrothersfurniture.com/downloads/CatalogPages/211.pdf
220,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,SOFAS,,,,,,220 Style,,,,,,,,,,,,,,,,,,,,,,,,,88,39,34,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/220-sm-fabric-chair.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/220-sm-fabric-ottoman.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/220-sm-leather-sofa.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/220-sm-leather-CHHF-chair.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/220-sm-leather-OTHF-ottoman.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/220-HD-fabric-sofa.jpg ,,,,,,,,,,Sofa,,Width: 88; Depth: 39; Height: 34; Inside Width: 71; Seat Height: 19; Seat Depth: 22; Arm Height: 26,,,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=220&piece=1,https://smithbrothersfurniture.com/downloads/CatalogPages/220.pdf
