SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL,CATALOG_PDF
211-10,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,211 Style,,,,,,,,,,,,,,,,,,,,,,,,,80,39,37,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-HD-leather-sofa.jpg,,,,,,,,,,,,,,,Sofa,,Width: 80; Depth: 39; Height: 37; Inside Width: 66; Seat Height: 20; Seat Depth: 21; Arm Height: 26,"PILLOWS:,One pair style #13, 18” (see price list for additional pillows),BACK STYLE:,Semi-attached inside back,LEGS :,Built-in tapered legs (non-removable),WOOD FINISH:,Shagbark (see samples for options),NAILHEAD:,Small size (size/configuration shown standard),Antique Brass shown (see samples for color selection),",,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=211&piece=1,https://smithbrothersfurniture.com/downloads/CatalogPages/211.pdf
211-20,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,211 Style,,,,,,,,,,,,,,,,,,,,,,,,,58,39,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loveseat (not shown),,Width: 80; Depth: 39; Height: 37; Inside Width: 66; Seat Height: 20; Seat Depth: 21; Arm Height: 26,"PILLOWS:,One pair style #13, 18” (see price list for additional pillows),BACK STYLE:,Semi-attached inside back,LEGS :,Built-in tapered legs (non-removable),WOOD FINISH:,Shagbark (see samples for options),NAILHEAD:,Small size (size/configuration shown standard),Antique Brass shown (see samples for color selection),",,,,,Limited,https://smithbrothersfurniture.com/style-details/?sid=211&piece=1,https://smithbrothersfurniture.com/downloads/CatalogPages/211.pdf
211-30,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,211 Style,,,,,,,,,,,,,,,,,,,,,,,,,37,39,37,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-HD-fabric-chair.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-HD-leather-chair.jpg,,,,,,,,,,,,,,Chair,,Width: 80; Depth: 39; Height: 37; Inside Width: 66; Seat Height: 20; Seat Depth: 21; Arm Height: 26,"PILLOWS:,One pair style #13, 18” (see price list for additional pillows),BACK STYLE:,Semi-attached inside back,LEGS :,Built-in tapered legs (non-removable),WOOD FINISH:,Shagbark (see samples for options),NAILHEAD:,Small size (size/configuration shown standard),Antique Brass shown (see samples for color selection),",,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=211&piece=1,https://smithbrothersfurniture.com/downloads/CatalogPages/211.pdf
211-40,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,211 Style,,,,,,,,,,,,,,,,,,,,,,,,,30,24,18,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-HD-fabric-ottoman.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/211-HD-leather-ottoman.jpg,,,,,,,,,,,,,,Ottoman,,Width: 80; Depth: 39; Height: 37; Inside Width: 66; Seat Height: 20; Seat Depth: 21; Arm Height: 26,"PILLOWS:,One pair style #13, 18” (see price list for additional pillows),BACK STYLE:,Semi-attached inside back,LEGS :,Built-in tapered legs (non-removable),WOOD FINISH:,Shagbark (see samples for options),NAILHEAD:,Small size (size/configuration shown standard),Antique Brass shown (see samples for color selection),",,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=211&piece=1,https://smithbrothersfurniture.com/downloads/CatalogPages/211.pdf
274-10,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,274 Style,,,,,,,,,,,,,,,,,,,,,,,,,86,41,37,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/274-HD-leather-sofa.jpg,,,,,,,,,,,,,,,Sofa,,Width: 86; Depth: 41; Height: 37; Inside Width: 78; Seat Height: 20; Seat Depth: 21; Arm Height: 29,"PILLOWS:,One pair style #12, 18” (see price list for additional pillows),BACK STYLE:,Loose pillow inside back,LEGS :,Built-in tapered legs (non-removable),WOOD FINISH:,Butternut (see samples for options),NAILHEAD:,Small size (size/configuration shown standard),Antique Brass shown (see samples for color selection),DESIGN NOTE:,The 274 sofa and loveseat are standard with loose arm cushions which may be collaged for an upcharge.,The 274 style is standard with a foam seat core and fiber loose pillow backs. A feather down seat/back/arm cushion,option is available for an upcharge.,",,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=274&piece=1,https://smithbrothersfurniture.com/downloads/CatalogPages/274.pdf
274-20,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,274 Style,,,,,,,,,,,,,,,,,,,,,,,,,60,41,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loveseat (not shown),,Width: 86; Depth: 41; Height: 37; Inside Width: 78; Seat Height: 20; Seat Depth: 21; Arm Height: 29,"PILLOWS:,One pair style #12, 18” (see price list for additional pillows),BACK STYLE:,Loose pillow inside back,LEGS :,Built-in tapered legs (non-removable),WOOD FINISH:,Butternut (see samples for options),NAILHEAD:,Small size (size/configuration shown standard),Antique Brass shown (see samples for color selection),DESIGN NOTE:,The 274 sofa and loveseat are standard with loose arm cushions which may be collaged for an upcharge.,The 274 style is standard with a foam seat core and fiber loose pillow backs. A feather down seat/back/arm cushion,option is available for an upcharge.,",,,,,Limited,https://smithbrothersfurniture.com/style-details/?sid=274&piece=1,https://smithbrothersfurniture.com/downloads/CatalogPages/274.pdf
274-30,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,274 Style,,,,,,,,,,,,,,,,,,,,,,,,,32,41,37,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/274-HD-fabric-chair.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/274-HD-leather-chair.jpg,,,,,,,,,,,,,,Chair,,Width: 86; Depth: 41; Height: 37; Inside Width: 78; Seat Height: 20; Seat Depth: 21; Arm Height: 29,"PILLOWS:,One pair style #12, 18” (see price list for additional pillows),BACK STYLE:,Loose pillow inside back,LEGS :,Built-in tapered legs (non-removable),WOOD FINISH:,Butternut (see samples for options),NAILHEAD:,Small size (size/configuration shown standard),Antique Brass shown (see samples for color selection),DESIGN NOTE:,The 274 sofa and loveseat are standard with loose arm cushions which may be collaged for an upcharge.,The 274 style is standard with a foam seat core and fiber loose pillow backs. A feather down seat/back/arm cushion,option is available for an upcharge.,",,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=274&piece=1,https://smithbrothersfurniture.com/downloads/CatalogPages/274.pdf
274-40,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,274 Style,,,,,,,,,,,,,,,,,,,,,,,,,28,22,19,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/274-HD-fabric-ottoman.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/274-HD-leather-ottoman.jpg,,,,,,,,,,,,,,Ottoman,,Width: 86; Depth: 41; Height: 37; Inside Width: 78; Seat Height: 20; Seat Depth: 21; Arm Height: 29,"PILLOWS:,One pair style #12, 18” (see price list for additional pillows),BACK STYLE:,Loose pillow inside back,LEGS :,Built-in tapered legs (non-removable),WOOD FINISH:,Butternut (see samples for options),NAILHEAD:,Small size (size/configuration shown standard),Antique Brass shown (see samples for color selection),DESIGN NOTE:,The 274 sofa and loveseat are standard with loose arm cushions which may be collaged for an upcharge.,The 274 style is standard with a foam seat core and fiber loose pillow backs. A feather down seat/back/arm cushion,option is available for an upcharge.,",,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=274&piece=1,https://smithbrothersfurniture.com/downloads/CatalogPages/274.pdf
M103-84,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,M103 Style,,,,,,,,,,,,,,,,,,,,,,,,,29,40,44,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-HD-fabric-motorized-headrest-recliner.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-HD-fabric-motorized-headrest-recliner.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-HD-leather-motorized-gliding-headrest-recliner.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-HD-leather-motorized-gliding-headrest-recliner.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-HD-leather-sectional-motorized-headrest.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-HD-leather-sectional-motorized-headrest.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-HD-fabric-sectional-motorized-headrest.jpg ,,,,,,,,,LAF Motorized Reclining Chair with Headrest,,Height: 44; Seat Height: 21; Seat Depth: 20; Arm Height: 25,"BACK STYLE:,Bustle back with motorized adjustable headrest,NAILHEAD:,Small size (size/configuration shown standard),Rubbed Bronze and Antique Brass shown (see samples for color selection),WOOD FINISH:,Shagbark shown. Console features an optional wood tray (see price list for wood finish color options),DESIGN NOTE:,The Wedge (-53) does not feature a reversible cushion, but all other seat cushions in fabric may be flipped.,Activator switches on recliners with an arm feature a USB port.,The Motorized Reclining Armless Chair with Headrest (-86) features a corded hand control.,The Console features a pop-up charging station, cup holders, and drawer.",,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=M103&piece=2,https://smithbrothersfurniture.com/downloads/CatalogPages/M103.pdf
M103-85,,,,,Smith Brothers Furniture,,,,,,,,,,,,,,,,NEW STYLES,,,,,,M103 Style,,,,,,,,,,,,,,,,,,,,,,,,,29,40,44,,,,,,,,,,,,,,,,,,,,,,,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-HD-fabric-motorized-headrest-recliner.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-HD-fabric-motorized-headrest-recliner.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-HD-leather-motorized-gliding-headrest-recliner.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-HD-leather-motorized-gliding-headrest-recliner.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-HD-leather-sectional-motorized-headrest.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-HD-leather-sectional-motorized-headrest.jpg,https://smithbrothersfurniture.com/ImgGlobal/Styles/public/M103-HD-fabric-sectional-motorized-headrest.jpg ,,,,,,,,,RAF Motorized Reclining Chair with Headrest,,Height: 44; Seat Height: 21; Seat Depth: 20; Arm Height: 25,"BACK STYLE:,Bustle back with motorized adjustable headrest,NAILHEAD:,Small size (size/configuration shown standard),Rubbed Bronze and Antique Brass shown (see samples for color selection),WOOD FINISH:,Shagbark shown. Console features an optional wood tray (see price list for wood finish color options),DESIGN NOTE:,The Wedge (-53) does not feature a reversible cushion, but all other seat cushions in fabric may be flipped.,Activator switches on recliners with an arm feature a USB port.,The Motorized Reclining Armless Chair with Headrest (-86) features a corded hand control.,The Console features a pop-up charging station, cup holders, and drawer.",,,,,Normal,https://smithbrothersfurniture.com/style-details/?sid=M103&piece=2,https://smithbrothersfurniture.com/downloads/CatalogPages/M103.pdf
